songId,title,artist,genre,album,lyricist,composer,date,img,comment,like,lyric,plylstSeq
5688764,그림자는 길어지고 (Die Schatten Werden Laenger),SE7EN,국내뮤지컬,뮤지컬 엘리자벳,Michael Kunze,Sylvester Levay,20150508,https://cdnimg.melon.co.kr/cm/album/images/023/17/467/2317467_500.jpg/melon/resize/282/quality/80/optimize,7,1177,"자 드디어 때가 왔어
긴 침묵을 끝낼 시간
그래 넌 나를 알지
기억 나
네가 어릴 때
우리 다시 만날 거란
그 약속 그 약속을
오 난 널 잊은 적 없어
내 친구 암흑 속에서
나는 너를 찾곤 했지
내가 여기 왔어
길어지는 그림자
인간은 절대 볼 수 없지
망설일 시간 없어
지나치고 후회만 할 뿐
세상을 덮는 어둠
세상의 종말 그 끝에 서 있다
그래 드디어 때가 왔어
세상의 마지막 순간
하지만 나는 힘 없이
그 끝을 지켜볼 뿐
무너지는 이 세상을
지켜만 보고 있겠나
미래의 황제 폐하가
그게 날 미치게 해
길어지는 그림자
인간은 절대 볼 수 없지
망설일 시간 없어
지나치고 후회만 할 뿐
세상을 덮는 어둠
세상의 종말 그 끝에 서 있다
뭘 망설이지
세상을 구원해
지금이야 그것이 운명
운명
길어지는 그림자
인간은 절대 볼 수 없지
무너지는 이 세상
너만이 구할 수 있어
세상을 덮는 어둠
황제 루돌프가 세상 밝히리라",457897578 517027552
8182539,왜 나를 사랑하지 않나요 (내 모습 그대로),규현 (KYUHYUN),국내뮤지컬,뮤지컬 모차르트! OST (2016),,,20160517,https://cdnimg.melon.co.kr/cm/album/images/026/85/019/2685019_500.jpg/melon/resize/282/quality/80/optimize,6,2845,"나는 믿었죠 
나의 기쁨 함께
나누러 오셨다고
늘 말했죠
당신 없인 안된다 
혼자 있으면 안 돼 
후회하게 될 거라고 
하지만 지금의 날 봐 
자랑스러운 모습 
왜 보려 하지 않아 
왜 날 사랑해 주지 않나요 
내 모습 그대로 
네 맞아요 난 의지가 약했죠 
기대도 저버렸죠 
그렇지만 이게 나인 걸요 
행복하고 싶었죠 
그게 전부였어 
내 안에 내 어릴 적 그 아이 
그도 역시 묻지요
왜 나를 사랑해 주지 않나요 
내 모습 그대로 
가까이 갈수록 멀어지는 느낌
말 걸어도 당신은 듣지 않아 
이젠 날 버리려 하네 
왜 날 떠나려 하시는지 
난 다른 사람 될 수 없어 
나는 당신이 될 수 없어 
아버지가 원한 삶 아닌
그냥 내가 되겠어 
절대 다시 천재로 살진 않아 
어린 시절처럼
나 사는 동안 그때
그 귀여운 작은아이
기억 속에 간직할래 
돌아가진 않아 
계속 나의 길을 가고 싶어 
이제 되돌아갈 순 없어 
이해하고 사랑해 줄 순 없나요
내 모습
왜 사랑해 주지 않나요 
여기 서있는 내 모습 그대로",517027552 426448960
35067262,A New Life,아이비,국내뮤지컬,"뮤지컬 '지킬앤하이드 (Jekyll & Hyde)' 2021 Korean Cast Recording - 류정한, 아이비, 조정은",Leslie Bricusse,Frank Wildhorn,20220513,https://cdnimg.melon.co.kr/cm2/album/images/109/48/434/10948434_20220510185610_500.jpg?cfe8f47b3008195ce183139e5de8894e/melon/resize/282/quality/80/optimize,2,233,"이번엔 다를 거라 믿었어 이번엔
힘들던 지난 시절 떠올라
절망 속에 아픈 기억들
이제는 알 것 같아 세상을 이제는
몰랐었겠지 미처 그때는
호기심만 가득했을 뿐
내 안에 어떤 꿈이 자라나 내 안에
그 밖에 다른 것은 필요 없었어
모르게 나조차도 모르게 그렇게
속삭이네 그 꿈들이
내 사랑 나를 뒤흔들고 떠난 사랑
홀로 남겨 두고 떠나갔지만
추억들을 간직해야 해
일어나 툭툭 털고 꿈에서 깨어나
공연한 환상에서 벗어나
잘해왔잖니 지금까지
내 인생 보잘 것은 없다 해도 내 삶
내 스스로 감당해야 할 내 삶
쓰러지지 마 버텨야 해
새 인생 폭풍은 지나갔어 새 인생
다시 태어날 것처럼 환생
풀잎처럼 다시 일어서
내가 살아가야 할 인생
시작해 새 인생",471800202 471050846
1314769,좋은 사람,오만석,국내뮤지컬,뮤지컬 김종욱 찾기 OST,,,20060714,https://cdnimg.melon.co.kr/cm/album/images/003/22/384/322384_500.jpg/melon/resize/282/quality/80/optimize,1,1328,"당신이 처음 문을 열고 들어왔을 때 난 
허허 뭐 이런 게 다 있냐 
그랬죠 
당신과 처음 몇 마디를 주고받을 때 난 
이제 난 죽었다 
싶었죠 
oh oh oh oh oh 어느새 시간은 흘러 
oh oh oh oh 내일이면 우린 안녕이죠 
해야 할 일은 다 못했어도 
당신을 만나게 된 게 기뻐요 
가끔 아주 가끔 생각 그냥 생각만 해봐요 
당신과 아마존을 
당신과 히말라야를 여행하는 꿈 
그것도 나쁘진 않을 거야 
당신은 씩씩하니까 
내짐도 들어줄 테니까 
가끔 아주 가끔 생각 그냥 생각만 해봐요 
당신과 호수위로 
지는 해를 조용히 바라보는 꿈 
그것도 나쁘진 않을 거야 
당신은 사고뭉치라서 1분도 가만히 못 있을걸 
oh oh oh oh oh 어느새 시간은 흘러 
oh oh oh oh 내일이면 우린 안녕이죠 
해야 할 말은 다 못했어도 
가끔 아주 가끔 
당신 생각날 것 같아요 
당신 생각이 너무 많이 나면 
어떡하죠?",457897578 517027552
35064236,Now There is No Choice,홍광호,국내뮤지컬,"뮤지컬 '지킬앤하이드 (Jekyll & Hyde)' 2021 Korean Cast Recording - 홍광호, 윤공주, 민경아",Leslie Bricusse,Frank Wildhorn,20220512,https://cdnimg.melon.co.kr/cm2/album/images/109/48/110/10948110_20220510171134_500.jpg?cf863dbae307e144a8481f23bd746c9c/melon/resize/282/quality/80/optimize,2,307,"선택은 없어 두려움은 한쪽에 제쳐두자
숨어선 안 돼 때가 온 거야
단지 기회를 잡기만 하면 돼 
이젠 주사위를 던져야만 해",471800202 509518599
35064243,"Murder, Murder",민경아,국내뮤지컬,"뮤지컬 '지킬앤하이드 (Jekyll & Hyde)' 2021 Korean Cast Recording - 홍광호, 윤공주, 민경아",Leslie Bricusse,Frank Wildhorn,20220512,https://cdnimg.melon.co.kr/cm2/album/images/109/48/110/10948110_20220510171134_500.jpg?cf863dbae307e144a8481f23bd746c9c/melon/resize/282/quality/80/optimize,2,218,"살인 사건 끔찍한 살인
대담무쌍한 살인
주교가 살해당했대
딸과 함께 걷다가 
공원을 산책하다
무참히 살해당했네
장소는 빈민굴
순교를 한거지
죽어서 잘됐지
불만도 없겠지
천당에 갈 테니
얼마나 좋겠니
해낸 거지 잘된 거지
살인 살인 한밤중에
살인 살인 깊은 밤에 
살인 살인 누구 몰래
살인 살인 이 밤에
살인 살인 살이 떨려
살인 살인 몸이 떨려 
살인 살인 숨이 막혀
살인 살인 이 밤에
죽음이 그의 삶을 훔쳤네
죽음이 늘어만 가네
친구여 편히 잠들지어다
감사해 살아 있음에
하나님이 우릴 도와 
살아남게 하소서
이게 뭐람 다른 살인
하루 걸러 또 살인
죽이네 닥치는 대로
그 놈을 사로잡자
모가질 내다 걸자
모가질 잘라버리자
알 수 없네 도대체
왜 이렇게 잘난 체
입술을 벌린 채
또 생긴 변사체
부자를 증오해
귀족을 경멸해
누구일까
나는 아냐
살인 살인 피를 말려
살인 살인 심장이 뛰어 
살인 살인 한잔 마셔
살인 살인 이 밤에
살인자가 판치는 도시 위험천만
경찰들은 헛다릴 긁어 허둥지둥
제발 좀 해치워라
발 뻗고 잠 좀 자자
처넣어라 철창 속으로 당장
범인을 알 때까지
누군지 알 때까지
아무도 믿지 말아라
살인 살인 저주할 자
살인 살인 저승사자
살인 살인 무법천지
살인 살인 이 밤에 
살인사건 두 건 발생
이번엔 더 끔찍해
세 번째 네 번째 살인
여자도 죽이는걸
그렇다면 나 역시
표적이 될 수 있겠군
팔일 동안 네 명이
공포의 밤거리
사람들도 많았죠
목격자만 수백 명
또 다시 올 텐데 위험한 살인마
어찌하나
어떡하나
미친놈이 틀림없겠지 정신병자
경찰들도 따라 돌았지 허탕치며
우리가 나서야 해 
우리가 잡아야 해
방법을 알고 있어
뭐
살인
살인잘 잡기까지 
누군지 알 때까지 
죽이고 죽여 살인을 또 죽여 
죽여 죽여 계속 살인을
살인 살인 코앞에서
살인 살인 눈앞에서
살인 살인 한발 먼저
네가 먼저 죽여라
살인 살인 후회 말고
살인 살인 먼저 끝내
나는 살고 너는 죽는
살인 살인 이 밤에
이 밤에",471800202 509518599
35064246,Dangerous Game,홍광호,국내뮤지컬,"뮤지컬 '지킬앤하이드 (Jekyll & Hyde)' 2021 Korean Cast Recording - 홍광호, 윤공주, 민경아",Leslie Bricusse,Frank Wildhorn,20220512,https://cdnimg.melon.co.kr/cm2/album/images/109/48/110/10948110_20220510171134_500.jpg?cf863dbae307e144a8481f23bd746c9c/melon/resize/282/quality/80/optimize,2,300,"내 어깨 위로 스치는 손끝
살결 위로 소름 돋아나네
이 사람은 내 모든 걸 알아
나만이 아는 나의 숨은 비밀
그의 손길대로 나는 달아올라
자꾸 숨결이 가빠져
그의 한숨 안에 나는 굴복당해 
아무 흔적도 없어져
다른 생각은 마 
나를 붙잡지 마
네가 바라는 걸
나도 몰랐던 나
생각 마라 네 몸이 알아
거부 마라 네가 바라는 걸
죽음보다 강렬한 유혹들
그 어떤 것도 너를 막지 못해
피해 갈 수 없어
No
벗어날 수 없어
No
너의 욕망을 들켰어
No
피해 가지 못해
워
벗어나지 못해
워
너는 욕망을 자극해
워
나를 유혹 말아
나를 거역 말아
나는 지금 어디
나도 몰랐던 나
천천히 깊숙이
또 다른 나를 만나
몰랐어
몰랐어 
나조차
나조차
숨겨진 나를 만나
나(너)의 손길 따라
나(너)의 숨결 따라
너(나)는 홀린 듯 이끌려
내(그)가 원한 대로
내(그)가 끄는 대로
너(나)는 미로를 헤매네
피해 갈 수 없어
벗어날 수 없어
네가 원했어
나는 지금 어디
헤매이고 있나
나도 몰랐던 나",471800202 509518599
1772802,Thanks For The Music (소피 &샘 & 해리 & 빌),이정미 & 성기윤 & 이정렬 & 박지일,국내뮤지컬,맘마미아 OST,,,20071128,https://cdnimg.melon.co.kr/cm/album/images/003/61/513/361513_500.jpg/melon/resize/282/quality/80/optimize,1,156,"Thank you for the music 함께 불러요 
모든 기쁨 내게 주죠 
솔직히 말해요 어떻게 살 수 있죠? 
음악없이 
 
노래와 춤 없으면 어쩌죠? 
그래요, 음악이 있음에 
난 정말 감사해- 
 
 
엄만 내가 걷기도 전에 춤췄대요 
음음- 또 말하기 전 난 노래를 불렀대요 
 
어찌 그랬는지 참 신기하죠 
이 멜로디 보다 
더 대단한건 없다 말한사람 
네, 난 그 사람의 팬이죠 
 
그래요 음악이 있음에 난 감사해요 
모든 기쁨 내게 주죠 
솔직히 말해요 어떻게 살 수 있죠? 
음악없이 
노래와 춤 없으면 어쩌죠 
그래요, 음악이 있음에 
난 정말 감사해- 
 
난 운이 좋아 
금발의 머릴 가졌죠 
모두에게 그걸 노래할 거야 
얼마나 내 삶이 기쁜지 
 
음악이 있음에 난 감사해요 
모든 기쁨 내게 주죠 
솔직히 말해요 어떻게 살 수 있죠? 
음악없이 
노래와 춤 없으면 어쪄죠 
그래요 
음악이 있음에 
난 정말 감사해 
 
그래요 
음악이 있음에 
 
난 정말 감사해",457897578 481032926
32262727,혼자 있을 때 들리는 소리,안진영,국내뮤지컬,뮤지컬 알사탕 OST,,,20191218,https://cdnimg.melon.co.kr/cm2/album/images/103/65/885/10365885_20191218110807_500.jpg?89e960a3b2a2165009c321f925975767/melon/resize/282/quality/80/optimize,0,337,"학교 다녀왔습니다
학교 갔다 와서 구슬이 간식 주면
우걱우걱 냠냠냠 참 맛있게 먹지
구슬인 정말 웃겨 밥 먹는 것도 웃겨
저것 좀 봐 잘 들어봐 뭐
학교 갔다 와서 조용히 있으면
여기저기 구석구석 소리가 들리지
집안에 있는 물건
재미있는 소릴 내지
지금부터 시작이야 쉿
냉장고 돌아가는 소리
싱크대 물 떨어지는 소리
시계초침 째깍째깍
윗집 물 내려가는 소리
귀를 쫑긋 세워서 가까이 들어보면
왱왱 쏴쏴 소리는 더 커져
그러면 나도 같이 더 큰 소리를 내지
지금부터 시작이야 출동
소파가 삐걱대는 소리
복도에서 우다다다 뛰는 소리
옆집 문 쾅 닫는 소리
혼자 있을 때 들리는 소리
냉장고 우르릉 싱크대 물 똑똑
시계초침 째깍째깍 물소리 쏴
소파는 삐그덕 복도에선 우다다다
옆집 문 쾅 닫는 소리
우르릉 똑똑 째깍째깍 쏴
삐그덕 우다다다 쾅
우르릉 쾅 삐그덕 우다다다
째깍째깍 쏴
혼자 있을 때
내가 혼자 있을 때
집에 혼자 있을 때 들리는 소리",
32860873,끝까지 끝은 아니야,강혜인,국내뮤지컬,뮤지컬 '어쩌면 해피엔딩',박천휴,Will Aronson,20200816,https://cdnimg.melon.co.kr/cm2/album/images/104/76/765/10476765_20200814164659_500.jpg?5b80ab1e7d60de478793dbe08a01fc2e/melon/resize/282/quality/80/optimize,7,1414,"끝까지 끝은 아니야
너무 걱정 마 너무 걱정 마
지금껏 늘 잘해 왔잖아
괜찮을 거야 괜찮을 거야
끝이라 생각한 순간
항상 찾아왔던 시작
그러니 포긴 말아
끝까지 끝은 아니야
시간은 멈추지 않아
계속 흘러가 계속 흘러가
모든 건 다 끝을 향해가
점점 가까이 점점 가까이
차창 너머 지는 노을
작별은 나쁜 게 아냐
슬퍼할 이윤 없어
원래 이게 그런 거야
정말 마지막 순간 그 순간이 찾아오면
조용히 눈 감겠지
그때까지 내가 할 수 있는 건 오직
일분일초 매 순간 나답게 살아가는 것
끝까지 끝은 아니야
너무 걱정 마 너무 걱정 마
여태껏 온 것도 대견해
너무 슬퍼 마 너무 슬퍼 마
괜한 걱정 따윈 말아
어차피 똑같은 결말
그저 지금에 집중해
끝까지 끝은 아니야
끝까지 끝은 아니야
끝까지 끝은 아니야
끝까지 끝은 아니야",408522774 490262696
