plylstSeq,title,tag,like,songIds
401498949,Hip-notize: 멜론 힙합/알앤비 핫 트랙스, #힙노타이즈 #hypnotize #트렌디 #힙합 #알앤비 #드라이브 #기분전환 #인기 #HOT #화요일 ,7535,36447608 36417475 36428887 36391317 36417476 36391421 36391374 36417483 36378712 36388567 36351997 36421588 36455957 36424889 36224655 36290207 36241824 36447606 36418817 36388573 36466281 36391320 36455958 36396052 36455959 36428893 36464011 36464883 36290209 36348293 36391321 36373965 36452633 36445670 36444959 36444960 36430965 36447978 36381764 36294270 36254943 36304565 36435017 36369282 36378713 36310362 36282049 36461318
407772171,밤에 듣는 그런 노래, #밤 #새벽 #술 #혼자 #고요 #쓸쓸한 #고독한 ,361,33672892 33695547 33695548 30399359 30326461 35739506 32957900 3610153 35910459 30694921 33672889 33450368 30833272 32957893 34162394 34087224 36032724 827903 32959376 31718756 3550140 35739508 35739507 5524037 32588657 32588658 32588661 35251199 2025250 698979 5465066 31666416 31687608 31948833 33278824 1797707 32038109 537749 34440549 31716593 530251 2532256 1790687 33241004 30048692 34095426 34684267 34737383 33152906 32637018
458990050,❄︎‧˚｡여름을 책임지는 신나는 아이돌 노래｡*̥❄︎, #여름 #신나는 #드라이브 #여행 #아이돌 #더위 #장마 ,1496,36430773 36416114 36411343 36356998 36206259 36266615 36356993 36351620 36337593 36318125 36105548 36110996 36111253 36078777 35730562 35729104 35709157 36248432 35669543 35640857 35640077 35640848 35566245 35560680 35546497 35485544 35510146 35546377 35542908 35504734 35493137 35510148 35454426 35493135 35413033 35454425 35371300 35434206 35400814 35374190 35342695 35332630 35337881 35333345 35245052 35225986 7844372 34904578 32821268 35313100
447506934,한국힙합 여기 다있다€$£¥, #랩 #힙합 #국힙 #Rap ,574,35733464 33484716 33303682 33303683 30651619 33252985 32930875 32193722 32273350 32930877 32054959 32159599 33275113 33275114 31169401 33359725 32173707 32069163 33197424 33197423 33197422 32585480 33136318 33136317 32150838 32596007 32596002 32596001 32513111 32517107 32574157 33133798 33133799 33133800 33133801 33133802 33133803 33133804 33133805
496329900,방탄소년단[BTS] 전곡《발매순》, #방탄소년단 #BTS #팝 #힙합 #발라드 #댄스 #아이돌 #아티스트 #kpop #띵곡만 ,525,2951634 2979887 3141761 3145786 3589433 3827997 3828005 3998905 4001763 4001764 4001767 4140190 4140191 4140192 4140193 4140194 4140195 4140196 4239687 4239688 4239689 4239690 4239691 4239692 4239693 4239694 4239695 4239696 4361779 4446448 4446449 4446450 4446451 4446452 4446453 4446454 4446455 4446456 4446457 4643464 4643465 4643466 4643467 4643468 4643469 4643470 4643471 4643472 4643473 4643474
505563751,최애곡들만 모은 감성힙합 playlist *･(상시 업데이트), #감성힙합 #카페 #감성 #플레이리스트 ,912,36417475 33732427 34584576 35888600 36364595 35827924 35728532 35689128 36047573 36296650 36224660 35320607 36157280 35313136 36081382 30633540 35957694 35953965 31736992 32930875 35685437 35937396 35937397 36047581 34960809 33660330 32509043 35360369 35844626 4312920 35823583 35823581 35708019 33315264 33805800 34497207 8243823 35029957 36047578 35543607 35527654 35540851 35536572 36224655 35485197 33229449 35505766 35299693 35378690 32071686
521840220,[playlist] 언제나 들어도 녹게 만드는 사랑, #마음 #사랑 #은은한노래 ,67,36439671 33643243 36410085 35617724 35340053 36283319 36338880 35708235 36042735 32318591 32495665 2558731 33843272 36031949 33011180 33904258 35493134 34599917 35391594 31351970 30163110 2203097 3753309 30829858 33013596 5694902 2627301 31345333 33347390 33061995 35177030 32961718 31746378 30290580 3414749 35730562 33403645 34657844 31717822 35523284 31833500 5700639 31833501 36040047 3753304 32821298 30414090 32445342 30657311 35560681
493525662,돌아온 여돌 전성기! 케이팝 덕후들을 위한 신나는 노동요 PLAYLIST, #노동요 #케이팝 #기분전환 #걸그룹 #운동 #헬스 #4세대 #신나는 #샤워 #여자솔로 ,1261,36416114 36206259 36411342 36430773 36352012 36331121 36356993 36105549 36421738 36318125 36105548 36300711 35985167 35749770 35778204 36001290 35876006 35993850 36043842 36137552 35846579 35875407 35546497 35730562 35868659 35560680 35729104 35542908 35454426 35371375 34754292 35692451 36142102 35729105 35337881 35268881 35640077 35413033 35333345 35868657 35643842 35009233 36331122 34847378 35238221 35353251 35504734 35389041 35434206 35485544
101606756,Workout: 다이어트 성공률 올리는 운동 BGM, #운동 #헬스 #신나는 #런닝 #기분업 #팝 #EDM #그루브 #흥겨운 #홈트 ,14156,36394195 36341161 36330740 36378070 36268959 36309013 36285782 36286997 36285692 36235359 35142187 36077882 36078040 36052734 36078243 36034867 36051780 36151144 35736956 35926552 35964495 35913607 35823669 35873444 35818910 35951704 35801893 35884406 35860807 35905912 35901552 35559142 35589162 35670663 35794595 35709380 35622506 35564557 35520838 35516283 35535285 35256327 35155359 35445573 35072135 35421768 35281853 35319454
520117929,#2. 너만 바라봐. 짝사랑할 때 듣는 감성힙합 (상시 업데이트), #인디힙합 #감성힙합 #사운드클라우드 #짝사랑 #우울 #혼자 #좋아하는 #사랑하는 #풋풋 #고백 ,233,36465109 36354723 34864208 34875621 34832023 35899460 35268787 36232387 36224661 36039157 33117271 34935274 34654956 33979407 36139987 35960286 34960810 33524946 35749636 31103535 36109372 36081382 33694076 36080410 32777674 35018129 33338108 35749743 33439829 33518292 34036567 33722790 35857759 34423603 36056574 33994151 36005173 35970714 34833898 35673025 32435900 32627560 32942185 32225449 34800784 35888600 31593919 32561659 32960240 33722791
