plylstSeq,title,tag,like,songIds
422117243,"분위기있는 매장음악모음 (Cafe , 커플이 많은 음식점, open L)", #매장음악 #카페 #Lounge #레스토랑 ,2710,33717532 35812207 32813199 32813195 32725574 32033887 32629183 8297997 32219271 9639854 32878852 32460612 16754128 30268811 5685546 30869956 33333951 30063261 30383778 30246721 31943943 5815696 34836243 32476479 33371078 9631810 30076888 30083338 4623141 5551684 8005118 32030602 8128985 32174070 32587188 5801565 34013979 32552427 5401409 30334591 31758979 31548092 7921096 3685475 33300698 31559507 32059289 31411223 32571644 32783258
101601279,혼자를 위한 음악, #감성 #새벽 ,4142,30977912 30648772 8216762 31653098 31619793 31423452 1630584 4131871 31175878 31105817 31141916 30968527 30972753 30520505 30886384 7931409 30470534 7890481 30623658 30623493 30660737 30601277 30633961 30035579 30150776 8028182 30048640 30348143 5681920 1722471 4005924 30321096 8216796 30037851 6400519 30035899 7915333 5753233 7880306 3431857 8179267 5660626 30059304 4335502 7898541 5378461 5786405 1876126 5756498 1762073
101502783,"비오는 날, 아메리카노와 함께 ♬", #비오는날 #밤 #새벽 ,4455,32615887 3489566 3819123 5670418 8199190 1915952 4711065 7896511 4583299 7964709 7877531 5578668 4669445 3700436 3482053 3080465 1920490 4358378 3465657 3819127 5670420 3680333 3907137 3654191 3654189 3053848 2224702 2743254 3806872 2287259 18081 3817189 3805317 3064748 3815000 2678083 3642701 3589431 1908229 3133068 1991266 533444 2906169 4369841 3717653 1907917 3374757 1885164 3644879 3567798
400981421,"괜찮아, 사랑이야 속 세련된 삽입곡들~;)", #괜찮아사랑이야 #노희경 #드라마 #사랑 #Pop ,5514,4828190 4796459 4796464 2527152 4050185 4436256 4796463 4796458 4793898 5379861 3660991 4796457 4796460 4796461 4796462 4654286 3386875 1860268 4281802 4843045 3556632 4843044 454476 4762446 4779294 4810639 4843704 4824874 4646573 4868481 5378419 4843021 5379862 5379863 5379864 5379865 5379866 5379867 5379868 5379869 5379870 5379871 5379872 5379874 5379873 5379875 5379876 4828201 4828200 4828199
506225967,전주부터 두근거리는 드라마 OST 명곡 모음, #기분전환 #OST #감성 #주말 #휴식 #도입부 #힐링 #일상 #신나는 #출퇴근 ,3218,36405970 36180708 35975681 35658473 35668416 8067023 34701818 35522733 34632361 34942194 4762446 32377231 5678250 34373632 33026570 4446485 2017348 30132687 4319067 5709755 7942948 3414749 3890826 9611490 34941251 8182907 30985406 35345961 34352471 8245686 35706418 35443840 4754435 1093692 35943568 8102386 3707405 32345931 35199704 32298623 34800779 35942630 35829148 36315340 31486544 34701816 32458621 35356222 32491274 30213419
496678472,"「사랑」 이란 단어가 품은 감정들을, 너는 알고 있을까", #사랑 #사랑노래 #사랑음악 #공감 ,158,36396522 36368399 34270811 34930368 31110776 33116098 36334339 30314784 35822777 34540496 36103770 34204116 36184619 32308359 36011506 36089878 36089874 35948435 35957846 34677563 30495475 34630482 33018795 34473827 34361383 34694005 34689425 30488583 34686555 34677852 30651587 4665828 34239131 31221130 34653657 34535726 34535727 34535728 35939145 35909851 35898413 35707473 35874775 35828850 35675209 33976610 35904515 35904514 34008194 35708545
404679084,여전히 내 머릿속에 존재하는 너에게, #추억 #회상 #이별 #슬픔 ,212,7893628 2719448 30602534 9640972 8104431 8109412 30468654 4222537 30457690 30599167 30648989 429656 30634787 3450220 30469594 30399360 3334075 1459456 30139530 30118819 30118815 8298424 30115011 30117192 30073676 30073666 30072072 30060077 30058197 30063113 8022283 30051511 30046922 30045372 30021235 5828428 1022090 30035556 17282 1929324 30034363 30043157 14221 30028418 4200523 30006916 5787667 4287434 9632608 8277751
509035277,"이유없이 벅차오르는 봄날, 아련청량한 K-POP 플레이리스트", #신나는 #아련한 #벅차오르는 #kpop #봄밤 #선선한 #스트레스 #드라이브 #적당히신나는 #운전 ,844,36480197 36444534 35846578 3701333 36245034 32464068 30930165 36440915 34101563 36371795 36356993 35779025 35904378 35730564 36414423 34819474 35640083 35434206 35717227 34754293 35523288 33977782 35529361 35560684 35713292 35504734 32961718 35226000 35272060 34772475 30838076 33193052 4130824 3859894 35712677 35509024 34626121 8262125 35594122 32057802 31737201 4221101 30630736 3853977 2212365 30453635 4037318 4727368 1913501 30827192
420099033,슬픈 사랑 이야기..., #슬픈 #슬픈사랑 ,58,3777042 8003798 5828719 4765619 2341749 2680552 600317 315872 2759248 1631371 8018618 46597 4836308 7975001 1125392 1948509 2609746 2546848 2612452 1808173 855662 2626610 1983462 1758652 1809309 2373875 517087 1984788 985478 623904 2539141 2539623 847126 1097091 2229275 91380 1884807 1492554 2523762 2535554 2542751 2540358 2537463 10291 1114174 1975478 2523763 485458 1521181 1145094
424284364,추운 겨울날 듣게되는 감성 발라드 모음, #겨울 #감성 #눈 #라디오 #연말 #추운 #겨울감성 #크리스마스 #추억 #발라드 ,7925,31624517 32073454 30777977 5465008 4300699 30877002 30181278 4446485 30178900 4399703 3610158 30120986 32081871 4333791 34101447 7942948 33303082 34151836 31562551 32614125 4038857 4044859 623902 3914860 30190630 33223396 4033059 30806536 30784187 32235310 30079085 32061975 30846077 33084536 33122449 31771612 5482636 485716 5576417 30757694 5458267 4369859 5572312 30753021 31715466 30301700 4333790 32175936 34388139 30725643
